,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
318,0.09359124,0.006374257,4.3013396,0.025227176,0.092932664,0.01325392,0.086314306,-0.1,4.5,0.1,0.07
319,0.08605701,0.0071720374,4.271726,0.028760819,0.075799055,0.01501927,0.12958863,-0.1,4.5,0.1,0.12
320,0.070191264,0.0083088875,4.3198075,0.031896062,0.050981916,0.017100923,0.17104389,-0.1,4.5,0.1,0.17
321,0.087153256,0.0063083186,4.2983418,0.024888141,0.18161154,0.013272887,0.085230015,-0.1,4.5,0.2,0.07
322,0.0921797,0.0072836573,4.295301,0.029919678,0.211326,0.015397738,0.13095006,-0.1,4.5,0.2,0.12
323,0.06644097,0.008303325,4.345928,0.03237246,0.15788242,0.017586825,0.1770831,-0.1,4.5,0.2,0.17
324,0.18371922,0.004526599,2.3788204,0.01773108,-0.032553103,0.009532496,0.07529463,-0.2,2.5,0.0,0.07
325,0.17397882,0.0057895314,2.3763664,0.021530945,-0.04064392,0.011983204,0.12459486,-0.2,2.5,0.0,0.12
326,0.16844405,0.0070517603,2.3456514,0.029417157,-0.054804448,0.014720275,0.17336825,-0.2,2.5,0.0,0.17
327,0.17354448,0.0044952305,2.3807826,0.018017216,0.062425148,0.00945525,0.07652346,-0.2,2.5,0.1,0.07
328,0.17294395,0.0057847374,2.3675623,0.022393096,0.0615213,0.012151635,0.123168886,-0.2,2.5,0.1,0.12
329,0.17233765,0.007157022,2.382691,0.02824208,0.055686045,0.014925292,0.17133805,-0.2,2.5,0.1,0.17
330,0.17583337,0.0045758886,2.4067423,0.017507121,0.15456246,0.00946114,0.07212696,-0.2,2.5,0.2,0.07
331,0.17128201,0.005802094,2.3806448,0.023239492,0.14234746,0.0121713765,0.123735815,-0.2,2.5,0.2,0.12
332,0.17671277,0.006738608,2.4208367,0.026903672,0.17329173,0.014130681,0.165232,-0.2,2.5,0.2,0.17
333,0.13882744,0.0043057296,2.3760033,0.017153196,-0.020281006,0.009061925,0.07129239,-0.15,2.5,0.0,0.07
334,0.1264897,0.005821943,2.3835068,0.02189947,-0.04293887,0.011728855,0.12333575,-0.15,2.5,0.0,0.12
335,0.1256287,0.0071473476,2.353531,0.028255323,-0.04142559,0.014700947,0.17148641,-0.15,2.5,0.0,0.17
336,0.13607733,0.004414897,2.3635364,0.016890332,0.07598643,0.009198771,0.07409181,-0.15,2.5,0.1,0.07
337,0.12607166,0.00549146,2.3606253,0.022328798,0.07551583,0.011583128,0.12039873,-0.15,2.5,0.1,0.12
338,0.12983254,0.0070125903,2.3765898,0.02684641,0.058462646,0.014766458,0.16968189,-0.15,2.5,0.1,0.17
339,0.1448022,0.004327325,2.383183,0.016709903,0.18130742,0.00893482,0.06913661,-0.15,2.5,0.2,0.07
340,0.14077435,0.0055141323,2.3966653,0.022784341,0.18345606,0.011734085,0.11958496,-0.15,2.5,0.2,0.12
341,0.12664948,0.0070476118,2.3617377,0.028292391,0.1693671,0.014757296,0.17169711,-0.15,2.5,0.2,0.17
342,0.0879487,0.004297068,2.3929532,0.016130418,-0.022536024,0.008956767,0.07134315,-0.1,2.5,0.0,0.07
343,0.08705738,0.0054883407,2.4273415,0.021998685,-0.02135478,0.011342424,0.11875364,-0.1,2.5,0.0,0.12
344,0.06903166,0.006976737,2.41037,0.027130984,-0.041972164,0.014759709,0.17086338,-0.1,2.5,0.0,0.17
345,0.08440736,0.004297416,2.3557243,0.017837416,0.075134374,0.009105197,0.078076504,-0.1,2.5,0.1,0.07
346,0.092488006,0.0054272995,2.3955898,0.021044489,0.08385148,0.011489565,0.120486595,-0.1,2.5,0.1,0.12
347,0.08592354,0.0068557435,2.421386,0.026983634,0.07686773,0.014564965,0.16737221,-0.1,2.5,0.1,0.17
348,0.08740789,0.004508219,2.3931417,0.017288454,0.18347432,0.009195164,0.075015716,-0.1,2.5,0.2,0.07
349,0.08236736,0.0057265395,2.3694122,0.022611214,0.16934352,0.011940437,0.12674096,-0.1,2.5,0.2,0.12
350,0.08148845,0.006965199,2.380769,0.028071405,0.18442672,0.014242484,0.1675514,-0.1,2.5,0.2,0.17
351,0.17648508,0.00535053,3.3478065,0.020807974,-0.03832495,0.011379942,0.07971929,-0.2,3.5,0.0,0.07
352,0.1705387,0.0062830523,3.3172824,0.024676098,-0.05951093,0.013064145,0.11838641,-0.2,3.5,0.0,0.12
353,0.16771182,0.0077291448,3.3207111,0.031165263,-0.029056061,0.016009646,0.17212614,-0.2,3.5,0.0,0.17
354,0.18269911,0.005443974,3.33798,0.020923134,0.07067618,0.011292612,0.0739442,-0.2,3.5,0.1,0.07
355,0.16448994,0.0062406748,3.36422,0.024334071,0.05539641,0.013045242,0.121433474,-0.2,3.5,0.1,0.12
356,0.17699413,0.0074832896,3.3390083,0.03034959,0.072174825,0.01579704,0.16649121,-0.2,3.5,0.1,0.17
357,0.1686551,0.0052708965,3.3470697,0.020447185,0.14719579,0.010922658,0.064424016,-0.2,3.5,0.2,0.07
358,0.16737811,0.0064063696,3.3438103,0.024271099,0.13877058,0.0134665985,0.11892654,-0.2,3.5,0.2,0.12
359,0.17002158,0.007697084,3.3052526,0.030164497,0.14506577,0.015927847,0.16884136,-0.2,3.5,0.2,0.17
360,0.12829548,0.0050273067,3.3718297,0.020849707,-0.0403067,0.010679979,0.072198875,-0.15,3.5,0.0,0.07
361,0.1315276,0.006350454,3.3107555,0.023557961,-0.031807754,0.013145692,0.12119679,-0.15,3.5,0.0,0.12
362,0.12279824,0.007426694,3.3358657,0.030034272,-0.054459132,0.015921213,0.1721753,-0.15,3.5,0.0,0.17
363,0.12605765,0.005204164,3.3171668,0.020897096,0.06573654,0.010954574,0.07483579,-0.15,3.5,0.1,0.07
364,0.1493062,0.0063102976,3.3394,0.022855816,0.09383869,0.013356751,0.1204301,-0.15,3.5,0.1,0.12
365,0.13473992,0.007471114,3.3135653,0.031648155,0.06428724,0.0158994,0.17033276,-0.15,3.5,0.1,0.17
366,0.13610508,0.0052651716,3.3521788,0.019513723,0.18607882,0.011099234,0.07311032,-0.15,3.5,0.2,0.07
367,0.13848266,0.0062537743,3.3304656,0.024134805,0.18393414,0.01303359,0.12190541,-0.15,3.5,0.2,0.12
368,0.13444448,0.007648329,3.3057435,0.030173758,0.1868682,0.016133174,0.17648572,-0.15,3.5,0.2,0.17
369,0.09437261,0.005185966,3.3537734,0.020146685,-0.0020166421,0.010710183,0.07176207,-0.1,3.5,0.0,0.07
370,0.08718037,0.0061085215,3.3128002,0.025008695,-0.022000294,0.012640364,0.11809017,-0.1,3.5,0.0,0.12
