,alpha,alpha_err,beta,beta_err,step,step_err,sigma,alpha_true,beta_true,gamma_true,sigmaint
34,0.19382344,0.006921408,3.5091374,0.02587719,0.18359706,0.013104782,0.125327,-0.2,3.5,0.2,0.12
35,0.18826196,0.008794239,3.49698,0.034236312,0.16910142,0.017866187,0.16827461,-0.2,3.5,0.2,0.17
36,0.14398487,0.004248041,3.5400171,0.016715642,-0.015991135,0.008525227,0.062253896,-0.15,3.5,0.0,0.07
37,0.14455108,0.006602598,3.464806,0.026486982,0.0035420607,0.014564906,0.12134304,-0.15,3.5,0.0,0.12
38,0.16510709,0.009309469,3.4707315,0.034945454,0.031046128,0.019649653,0.16644202,-0.15,3.5,0.0,0.17
39,0.14065108,0.004082842,3.4880521,0.015519998,0.08365968,0.00843506,0.07037988,-0.15,3.5,0.1,0.07
40,0.15318789,0.006401923,3.5294392,0.024542177,0.11649739,0.013465116,0.119917616,-0.15,3.5,0.1,0.12
41,0.15716472,0.0088049285,3.454768,0.036788862,0.12166229,0.017669069,0.17304991,-0.15,3.5,0.1,0.17
42,0.14747734,0.0038186905,3.49652,0.014678472,0.19303174,0.0070502544,0.064260736,-0.15,3.5,0.2,0.07
43,0.1462163,0.005956584,3.4885645,0.02196544,0.20862849,0.012185103,0.10998928,-0.15,3.5,0.2,0.12
44,0.15532902,0.008999076,3.5259953,0.03314752,0.20196088,0.018685568,0.164752,-0.15,3.5,0.2,0.17
45,0.097866,0.0045741205,3.4697204,0.017220074,-0.015567393,0.009550168,0.07792765,-0.1,3.5,0.0,0.07
46,0.10879228,0.0067638257,3.5007854,0.027347049,0.0027485036,0.014001684,0.123333864,-0.1,3.5,0.0,0.12
47,0.09442445,0.0099292165,3.5236337,0.039514735,-0.013349614,0.020672636,0.16798984,-0.1,3.5,0.0,0.17
48,0.10141029,0.003586364,3.5003028,0.01550676,0.10535521,0.0077472785,0.066289335,-0.1,3.5,0.1,0.07
49,0.09292482,0.0062925126,3.4804182,0.028659798,0.08936385,0.012009755,0.12188214,-0.1,3.5,0.1,0.12
50,0.09873245,0.008438473,3.4389162,0.03378685,0.10351888,0.017744252,0.1645383,-0.1,3.5,0.1,0.17
51,0.10346492,0.004127947,3.5110157,0.016766204,0.20788808,0.008772208,0.06985388,-0.1,3.5,0.2,0.07
52,0.11325484,0.0070018237,3.5005429,0.025710348,0.21300656,0.014314227,0.12728833,-0.1,3.5,0.2,0.12
53,0.09327434,0.008529754,3.4533184,0.03771997,0.19634588,0.018504836,0.17627406,-0.1,3.5,0.2,0.17
54,0.19180411,0.004119131,4.4919963,0.01496934,-0.020155178,0.008793498,0.064534895,-0.2,4.5,0.0,0.07
55,0.20870475,0.0067395815,4.5068846,0.027503235,0.020976601,0.013578947,0.11996849,-0.2,4.5,0.0,0.12
56,0.20611462,0.008399545,4.5267797,0.03591724,0.02199637,0.01718747,0.17349575,-0.2,4.5,0.0,0.17
57,0.19282673,0.0039662286,4.498468,0.018723845,0.09220652,0.008510901,0.0740037,-0.2,4.5,0.1,0.07
58,0.21032768,0.006303577,4.4562206,0.02645887,0.13077344,0.012728154,0.121390365,-0.2,4.5,0.1,0.12
59,0.2017603,0.00828605,4.591087,0.03362506,0.08074392,0.017180072,0.16815023,-0.2,4.5,0.1,0.17
60,0.21375361,0.003985627,4.500833,0.013875436,0.2501378,0.0085606985,0.068513945,-0.2,4.5,0.2,0.07
61,0.19501463,0.006009141,4.531818,0.027102942,0.19952866,0.012744112,0.117339335,-0.2,4.5,0.2,0.12
62,0.20468262,0.009196799,4.5067286,0.03966751,0.19611612,0.018733442,0.17534533,-0.2,4.5,0.2,0.17
63,0.14712484,0.0042688255,4.540953,0.01457578,0.0042555137,0.008735628,0.074002095,-0.15,4.5,0.0,0.07
64,0.16250993,0.0065283636,4.517086,0.02831308,0.016320983,0.013678258,0.123938166,-0.15,4.5,0.0,0.12
65,0.141698,0.0087175155,4.4380174,0.032876756,-0.00366368,0.019300036,0.17464799,-0.15,4.5,0.0,0.17
66,0.1517627,0.0034260957,4.500008,0.014705077,0.09778553,0.0070015164,0.06053032,-0.15,4.5,0.1,0.07
67,0.14001857,0.0063514677,4.474491,0.025086215,0.08212154,0.013010037,0.12339534,-0.15,4.5,0.1,0.12
68,0.15610552,0.008476177,4.498878,0.035839647,0.114808366,0.01706399,0.16761678,-0.15,4.5,0.1,0.17
69,0.1473553,0.0037395286,4.4645104,0.016919363,0.19066317,0.0076866634,0.07199922,-0.15,4.5,0.2,0.07
70,0.14573313,0.0072261533,4.4080024,0.026748147,0.1969457,0.014467758,0.13182652,-0.15,4.5,0.2,0.12
71,0.14435062,0.009151393,4.536631,0.039833236,0.19503938,0.018561624,0.17152981,-0.15,4.5,0.2,0.17
72,0.09869903,0.0040135165,4.5291786,0.017044693,0.004296428,0.008184246,0.07050065,-0.1,4.5,0.0,0.07
73,0.11195219,0.0065919855,4.4682302,0.027399357,0.005567516,0.014438426,0.13181755,-0.1,4.5,0.0,0.12
74,0.1034907,0.008290257,4.4113,0.03356953,-0.0030310475,0.018225646,0.17831293,-0.1,4.5,0.0,0.17
75,0.10480658,0.003733765,4.511734,0.015507536,0.11924326,0.008188668,0.06650087,-0.1,4.5,0.1,0.07
76,0.10655773,0.0066416687,4.4728346,0.024797907,0.10277642,0.013795591,0.12138341,-0.1,4.5,0.1,0.12
77,0.087015755,0.0091523975,4.473012,0.034008693,0.059203364,0.01871049,0.1714225,-0.1,4.5,0.1,0.17
78,0.11112649,0.004051348,4.5107875,0.01624716,0.21771894,0.008469546,0.06602968,-0.1,4.5,0.2,0.07
79,0.103919156,0.006513362,4.48422,0.025666418,0.20001249,0.012412099,0.12788911,-0.1,4.5,0.2,0.12
80,0.085522205,0.0082375035,4.5794816,0.035288073,0.17119056,0.017351542,0.16612127,-0.1,4.5,0.2,0.17
0,0.19534473,0.003995638,2.50871,0.014825115,0.00023016454,0.008243845,0.06403053,-0.2,2.5,0.0,0.07
1,0.2088078,0.0060791196,2.4898293,0.024771838,0.005085343,0.013103301,0.11985571,-0.2,2.5,0.0,0.12
2,0.20336984,0.008915723,2.467877,0.037375923,0.019730287,0.02003808,0.17108111,-0.2,2.5,0.0,0.17
3,0.20076029,0.0038445734,2.4947472,0.015518401,0.10386971,0.0078100665,0.06764414,-0.2,2.5,0.1,0.07
4,0.19872318,0.0070415856,2.5038347,0.024406675,0.11192942,0.014704075,0.12761767,-0.2,2.5,0.1,0.12
5,0.20072378,0.010554211,2.4728405,0.03639049,0.097678,0.021017797,0.17873621,-0.2,2.5,0.1,0.17
